proposal_id,proposal_title,country,Investigators,observation_band,total_hrs_requested,reviewer1,reviewer1_score,reviewer2,reviewer2_score,reviewer3,reviewer3_score,total_hrs_recommended
prop-012,Mapping HI around AGB stars,Portugal,"{""pi"": {""pi_fullname"": ""Andrew Kane"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Janice Mcgowan"", ""tech_lead_country"": ""Netherlands""}, ""co_pis"": [{""co_pi_fullname"": ""Ashwin Barker"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",S-Band,31.00,P. Fuentes,8.2,N. Katou,7.5,P. Norton,5.6,24.75
prop-013,A MeerKAT view on galaxies in filaments falling onto the Virgo cluster (VirgoFil),South Africa,"{""pi"": {""pi_fullname"": ""Zoe Sweeney"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Maariyah Harding"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Zakir Strong"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Zakir Strong"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Christine Joyce"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Duncan Holder"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Mikey Saunders"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Alys Wright"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Ayah Escobar"", ""co_pi_country"": ""South Africa"", ""is_student"": false}]}",L-Band,22.33,P. Roosevelt,8.1,P. Norton,6.3,P. Fuentes,4.7,22.33
prop-014,MeerKAT HI imaging of two southern DustPedia galaxies,Ghana,"{""pi"": {""pi_fullname"": ""Brandon Vance"", ""pi_country"": ""Ghana""}, ""tech_lead"": {""tech_lead_fullname"": ""Bailey David"", ""tech_lead_country"": ""Canada""}, ""co_pis"": [{""co_pi_fullname"": ""Fatimah Cruz"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Elaine Jimenez"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Olivia Moreno"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Maia Mccoy"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Effie Fitzpatrick"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Mariyah Humphrey"", ""co_pi_country"": ""Ghana"", ""is_student"": false}, {""co_pi_fullname"": ""Zakir Strong"", ""co_pi_country"": ""Ghana"", ""is_student"": false}]}",S-Band,20.00,A. Li,7.4,P. Fuentes,7.3,D. Piraino,9.1,20.00
prop-015,Measuring the True Occurrence Rate of Jets in TDEs via Late-Time MeerKAT Observations,Canada,"{""pi"": {""pi_fullname"": ""Bailey David"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Kara Trujillo"", ""tech_lead_country"": ""China""}, ""co_pis"": [{""co_pi_fullname"": ""Willie Harvey"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Tamsin Pugh"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Amanda Bush"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Pedro Parsons"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Mike Matthews"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Imran Rubio"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Jennie Newton"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",S-Band,12.00,K. Angioli,4.7,N. Katou,7.9,D. Piraino,5,12.00
prop-016,Observation of galaxies discovered in the Pilot FAST Ultra Deep Survey,China,"{""pi"": {""pi_fullname"": ""Kabir Charles"", ""pi_country"": ""China""}, ""tech_lead"": {""tech_lead_fullname"": ""Maia Mccoy"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Maariyah Harding"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Ellen Abbott"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Alice Conner"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Isra Rhodes"", ""co_pi_country"": ""China"", ""is_student"": false}]}",UHF,25.00,K. Angioli,6.3,P. Roosevelt,6.2,A. Li,6.4,25.00
prop-017,Understanding the unusual radio behaviour of the hot magnetic star CU Vir,Switzerland,"{""pi"": {""pi_fullname"": ""Zakir Strong"", ""pi_country"": ""Switzerland""}, ""tech_lead"": {""tech_lead_fullname"": ""Abdulrahman Blanchard"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Stuart Farrell"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Connie Gallagher"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Harri Carlson"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}, {""co_pi_fullname"": ""Susie Watkins"", ""co_pi_country"": ""Switzerland"", ""is_student"": false}]}",UHF,8.75,C. Maas,7.5,K. Angioli,6.1,N. Katou,9.2,8.75
prop-018,HI observations of ultra diffuse galaxies (UDGs) in galaxy groups,South Africa,"{""pi"": {""pi_fullname"": ""Abel Contreras"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Agnes Lambert"", ""tech_lead_country"": ""Netherlands""}, ""co_pis"": [{""co_pi_fullname"": ""Clementine Golden"", ""co_pi_country"": ""South Africa"", ""is_student"": false}, {""co_pi_fullname"": ""Lochlan Mack"", ""co_pi_country"": ""South Africa"", ""is_student"": false}]}",S-Band,15.00,N. Katou,8.2,A. Li,4.8,P. Roosevelt,9.3,13.50
prop-019,Constraining quenching scenarios in Recently Quenched Elliptical (RQE) galaxies via HI study,India,"{""pi"": {""pi_fullname"": ""Maisy Dejesus"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Keane Randall"", ""tech_lead_country"": ""Ghana""}, ""co_pis"": [{""co_pi_fullname"": ""Kylie Logan"", ""co_pi_country"": ""India"", ""is_student"": false}]}",X-Band,30.00,C. Maas,5.8,K. Angioli,5.8,A. Li,7.3,30.00
prop-020,A Study of an Unexplored Population of ``Fast'' Radio Supernovae,Spain,"{""pi"": {""pi_fullname"": ""Isra Rhodes"", ""pi_country"": ""Spain""}, ""tech_lead"": {""tech_lead_fullname"": ""Kylie Logan"", ""tech_lead_country"": ""Germany""}, ""co_pis"": []}",UHF,30.00,N. Katou,9.6,D. Piraino,6.1,A. Li,7.4,30.00
prop-021,Unravelling new magnetic fields in the large scale structure of the Universe: the case of the galaxy cluster A3718,Netherlands,"{""pi"": {""pi_fullname"": ""Janice Mcgowan"", ""pi_country"": ""Netherlands""}, ""tech_lead"": {""tech_lead_fullname"": ""Gwen Stuart"", ""tech_lead_country"": ""Italy""}, ""co_pis"": [{""co_pi_fullname"": ""Eddie O'Connor"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Keane Randall"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Keane Randall"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Asa Chen"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Effie Fitzpatrick"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}, {""co_pi_fullname"": ""Wayne Palmer"", ""co_pi_country"": ""Netherlands"", ""is_student"": false}]}",UHF,25.00,D. Piraino,9.5,N. Katou,5.7,P. Fuentes,8.1,25.00
prop-022,Searching for fast outflows of cold gas at intermediate redshifts,Sweden,"{""pi"": {""pi_fullname"": ""Mollie Campbell"", ""pi_country"": ""Sweden""}, ""tech_lead"": {""tech_lead_fullname"": ""Kieran Crane"", ""tech_lead_country"": ""France""}, ""co_pis"": [{""co_pi_fullname"": ""Zaki Harrington"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Ben Stone"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Tamsin Pugh"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Priya Cannon"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Zaki Harrington"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Cian Santana"", ""co_pi_country"": ""Sweden"", ""is_student"": false}, {""co_pi_fullname"": ""Eugene Brock"", ""co_pi_country"": ""Sweden"", ""is_student"": false}]}",X-Band,12.00,K. Angioli,4.6,P. Roosevelt,5.4,C. Maas,6,12.00
prop-023,Testing Standard Cosmology with Giant Radio Galaxies in the Distant Universe,South Africa,"{""pi"": {""pi_fullname"": ""Ridwan Torres"", ""pi_country"": ""South Africa""}, ""tech_lead"": {""tech_lead_fullname"": ""Arron Simpson"", ""tech_lead_country"": ""Spain""}, ""co_pis"": []}",X-Band,18.00,C. Maas,6,K. Angioli,7.9,A. Li,8.7,18.00
prop-024,GRBs: The Reverse Shock Renaissance,France,"{""pi"": {""pi_fullname"": ""Marshall Lester"", ""pi_country"": ""France""}, ""tech_lead"": {""tech_lead_fullname"": ""Laurence Reid"", ""tech_lead_country"": ""Italy""}, ""co_pis"": [{""co_pi_fullname"": ""Kabir Charles"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Martina Bloggs"", ""co_pi_country"": ""France"", ""is_student"": false}]}",S-Band,10.00,N. Katou,8.6,P. Fuentes,6.3,P. Roosevelt,8,9.00
prop-025,MeerKAT observations of the magnetized cosmic web,Portugal,"{""pi"": {""pi_fullname"": ""Sebastian Knapp"", ""pi_country"": ""Portugal""}, ""tech_lead"": {""tech_lead_fullname"": ""Harvey Richards"", ""tech_lead_country"": ""China""}, ""co_pis"": [{""co_pi_fullname"": ""Abraham Beasley"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Tasneem Blake"", ""co_pi_country"": ""Portugal"", ""is_student"": false}, {""co_pi_fullname"": ""Jakob Elliott"", ""co_pi_country"": ""Portugal"", ""is_student"": false}]}",L-Band,74.25,P. Roosevelt,6.2,D. Piraino,7.8,K. Angioli,7.3,55.75
prop-026,Star formation and the ISM in Nearby Galaxies with MeerKAT,Netherlands,"{""pi"": {""pi_fullname"": ""Janice Mcgowan"", ""pi_country"": ""Netherlands""}, ""tech_lead"": {""tech_lead_fullname"": ""Omari Winters"", ""tech_lead_country"": ""Italy""}, ""co_pis"": []}",L-Band,50.00,P. Norton,7.1,D. Piraino,8.3,A. Li,9.8,37.50
prop-027,Using MeerKAT UHF to Bridge the Gap in Abell 2443,India,"{""pi"": {""pi_fullname"": ""Maisy Dejesus"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Mariyah Humphrey"", ""tech_lead_country"": ""France""}, ""co_pis"": [{""co_pi_fullname"": ""Nicolas Rice"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Honey Campos"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Bertha Lopez"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Zoe Sweeney"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Duncan Holder"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Abel Contreras"", ""co_pi_country"": ""India"", ""is_student"": false}, {""co_pi_fullname"": ""Rex Harmon"", ""co_pi_country"": ""India"", ""is_student"": false}]}",L-Band,8.00,N. Katou,9.7,P. Fuentes,8.1,A. Li,8.2,8.00
prop-028,Disentangling the History of Particle Acceleration In Ultra Steep Spectrum Relic Clusters Abell 2443 and CIZA J0719.5+0043,China,"{""pi"": {""pi_fullname"": ""Kara Trujillo"", ""pi_country"": ""China""}, ""tech_lead"": {""tech_lead_fullname"": ""Stuart Farrell"", ""tech_lead_country"": ""Australia""}, ""co_pis"": [{""co_pi_fullname"": ""Alec Dotson"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Howard Koch"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Tilly Yoder"", ""co_pi_country"": ""China"", ""is_student"": false}, {""co_pi_fullname"": ""Bailey David"", ""co_pi_country"": ""China"", ""is_student"": false}]}",S-Band,17.00,P. Roosevelt,9.8,C. Maas,5.9,P. Fuentes,8,13.50
prop-029,What is the origin of the kpc-scale radio emission in radio-quiet active galactic nuclei,Canada,"{""pi"": {""pi_fullname"": ""Alys Wright"", ""pi_country"": ""Canada""}, ""tech_lead"": {""tech_lead_fullname"": ""Vinny Powers"", ""tech_lead_country"": ""Portugal""}, ""co_pis"": [{""co_pi_fullname"": ""Kara Trujillo"", ""co_pi_country"": ""Canada"", ""is_student"": false}, {""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""Canada"", ""is_student"": false}]}",L-Band,9.00,K. Angioli,6.4,N. Katou,6.8,C. Maas,7.7,9.00
prop-030,Observing HI in the Reionization Epoch Analog Galaxy Haro11,Italy,"{""pi"": {""pi_fullname"": ""Dawid Fleming"", ""pi_country"": ""Italy""}, ""tech_lead"": {""tech_lead_fullname"": ""Marshall Lester"", ""tech_lead_country"": ""France""}, ""co_pis"": [{""co_pi_fullname"": ""Agnes Lambert"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Honey Campos"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Keane Randall"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Abel Contreras"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Marshall Lester"", ""co_pi_country"": ""Italy"", ""is_student"": false}, {""co_pi_fullname"": ""Rex Harmon"", ""co_pi_country"": ""Italy"", ""is_student"": false}]}",X-Band,11.00,P. Roosevelt,5.6,A. Li,6.3,K. Angioli,9.3,11.00
prop-031,Imaging the Disk and Outflow of the Starburst Galaxy NGC 253 with High-Resolution HI,Spain,"{""pi"": {""pi_fullname"": ""Silas Stein"", ""pi_country"": ""Spain""}, ""tech_lead"": {""tech_lead_fullname"": ""Mollie Campbell"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": [{""co_pi_fullname"": ""Jennie Newton"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Ellen Abbott"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Asa Chen"", ""co_pi_country"": ""Spain"", ""is_student"": false}, {""co_pi_fullname"": ""Dawson Warren"", ""co_pi_country"": ""Spain"", ""is_student"": false}]}",UHF,45.00,K. Angioli,9.4,P. Fuentes,4.8,P. Roosevelt,4.7,33.75
prop-032,An HI perspective on galaxy evolution in Abell 2626 and its surroundings,France,"{""pi"": {""pi_fullname"": ""Kieran Crane"", ""pi_country"": ""France""}, ""tech_lead"": {""tech_lead_fullname"": ""Ayah Escobar"", ""tech_lead_country"": ""France""}, ""co_pis"": [{""co_pi_fullname"": ""Sebastien Singleton"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Ida Mullins"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Martina Bloggs"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Jennie Newton"", ""co_pi_country"": ""France"", ""is_student"": false}]}",X-Band,48.00,N. Katou,9.3,P. Roosevelt,9.4,A. Li,6.9,48.00
prop-033,"The connection between star formation, gas properties and magnetic field in nearby galaxies at high spatial resolution",Germany,"{""pi"": {""pi_fullname"": ""Herbert Padilla"", ""pi_country"": ""Germany""}, ""tech_lead"": {""tech_lead_fullname"": ""Alice Conner"", ""tech_lead_country"": ""Netherlands""}, ""co_pis"": [{""co_pi_fullname"": ""Harvey Richards"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Pedro Parsons"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Aysha Whitaker"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Isra Rhodes"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Keane Randall"", ""co_pi_country"": ""Germany"", ""is_student"": false}, {""co_pi_fullname"": ""Dawson Warren"", ""co_pi_country"": ""Germany"", ""is_student"": false}]}",UHF,49.00,K. Angioli,8.8,D. Piraino,7.3,C. Maas,5.4,39.25
prop-034,Antlia Cluster in HIgh def: A study of early galaxy cluster assembly,France,"{""pi"": {""pi_fullname"": ""Alec Dotson"", ""pi_country"": ""France""}, ""tech_lead"": {""tech_lead_fullname"": ""Clementine Golden"", ""tech_lead_country"": ""Switzerland""}, ""co_pis"": [{""co_pi_fullname"": ""Tabitha Lamb"", ""co_pi_country"": ""France"", ""is_student"": false}, {""co_pi_fullname"": ""Abel Contreras"", ""co_pi_country"": ""France"", ""is_student"": false}]}",X-Band,49.00,N. Katou,6.7,P. Fuentes,7.2,P. Norton,5.6,37.00
prop-035,MERGHERS: evolution of cluster scale radio sources through cosmic time,India,"{""pi"": {""pi_fullname"": ""Ben Stone"", ""pi_country"": ""India""}, ""tech_lead"": {""tech_lead_fullname"": ""Mollie Campbell"", ""tech_lead_country"": ""Sweden""}, ""co_pis"": []}",X-Band,99.50,N. Katou,5.4,C. Maas,6.5,P. Roosevelt,7.6,99.50
